strategy,symbol,signal_time,side,price,share_price,strike_price,quantity,reason,timeframe,data_start,data_end,backtest_run_at_utc,execution_type,execution_status,executed_at_utc
BREAKOUT,RELIANCE,2026-03-02 05:45:00,SELL,1362.7,1362.7,,625,SL:1364.3 TSL:1364.3 TP:1359.5,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
BREAKOUT,RELIANCE,2026-03-04 03:55:00,SELL,1317.0,1317.0,,1000,SL:1318.0 TSL:1317.555 TP:1315.0,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
BREAKOUT,RELIANCE,2026-03-05 04:10:00,BUY,1374.4,1374.4,,500,SL:1372.4 TSL:1375.488 TP:1378.4,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
BREAKOUT,RELIANCE,2026-03-06 03:55:00,BUY,1401.8,1401.8,,188,SL:1407.1 TSL:1410.114 TP:1391.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
DEMAND_SUPPLY,RELIANCE,2026-02-27 06:10:00,BUY,1402.1,1402.1,,277,SL:1398.5 TSL:1398.5 TP:1409.3,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
DEMAND_SUPPLY,RELIANCE,2026-03-02 05:30:00,SELL,1365.0,1365.0,,454,SL:1367.2 TSL:1367.2 TP:1360.6,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
DEMAND_SUPPLY,RELIANCE,2026-03-04 05:25:00,BUY,1340.0,1340.0,,200,SL:1335.0 TSL:1335.0 TP:1350.0,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
DEMAND_SUPPLY,RELIANCE,2026-03-05 05:05:00,BUY,1379.7,1379.7,,200,SL:1374.7 TSL:1374.7 TP:1389.7,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
DEMAND_SUPPLY,RELIANCE,2026-03-06 05:45:00,BUY,1416.9,1416.9,,714,SL:1415.5 TSL:1415.5 TP:1419.7,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
INDICATOR,RELIANCE,2026-03-06 10:00:00,SELL,1404.8,1404.8,,1,BEARISH_TREND,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
ONE_TRADE_DAY,RELIANCE,2026-02-27 09:50:00,SELL,1394.0,1394.0,,1111,SL:1394.9 TSL:1394.9 TP:1392.2,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
ONE_TRADE_DAY,RELIANCE,2026-03-02 04:30:00,SELL,1370.9,1370.9,,185,SL:1376.3 TSL:1376.3 TP:1360.1,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
ONE_TRADE_DAY,RELIANCE,2026-03-04 04:55:00,BUY,1337.9,1337.9,,185,SL:1332.5 TSL:1332.5 TP:1348.7,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
ONE_TRADE_DAY,RELIANCE,2026-03-05 04:50:00,BUY,1379.5,1379.5,,2000,SL:1379.0 TSL:1379.0 TP:1380.5,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
ONE_TRADE_DAY,RELIANCE,2026-03-06 04:30:00,BUY,1413.9,1413.9,,250,SL:1409.9 TSL:1409.9 TP:1421.9,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
BTST,RELIANCE,2026-03-02 09:55:00,BUY,1360.0,1360.0,,454,SL:1357.8 TSL: TP:NEXT_OPEN,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
BTST,RELIANCE,2026-03-04 09:55:00,BUY,1345.3,1345.3,,769,SL:1344.0 TSL: TP:NEXT_OPEN,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
BTST,RELIANCE,2026-03-05 09:55:00,BUY,1386.4,1386.4,,833,SL:1385.2 TSL: TP:NEXT_OPEN,RELIANCE.NS|5m|5d,2026-02-27 03:45:00,2026-03-06 10:00:00,2026-03-06 15:10:45,PAPER,EXECUTED,2026-03-06 15:10:45
