companyName,industry,symbol,series,isinCode,banking_stocks,starts_with_a
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,False,True
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,False,False
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,False,False
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,False,True
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,True,True
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,False,False
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,True,False
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,True,False
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,False,False
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,False,False
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,False,False
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,False,False
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,False,False
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,False,False
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,False,False
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,False,False
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,False,False
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,True,False
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,True,False
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,False,False
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,False,False
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,True,False
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,False,False
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,False,False
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,False,False
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,False,False
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,True,False
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036,True,False
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,False,False
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,False,False
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,False,False
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,False,False
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,False,False
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,False,False
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,False,False
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,False,False
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,False,False
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,True,False
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,True,False
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,True,False
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,False,False
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,False,False
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,False,False
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022,False,False
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,False,False
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,False,False
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,False,False
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,False,False
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,False,False
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,False,False
